grammar,L,k,coverage,seed,corpus_max_len,accepted_count,retained_count,num_learned_classes,oracle_num_classes,ARI_vs_oracle,NMI_vs_oracle,pairwise_precision_vs_oracle,pairwise_recall_vs_oracle,matches_oracle,partition_hash
recursive_modifier,6,4,0.050000,1,10,255,13,40,8,0.457968,0.375480,0.976499,0.999967,0,655115fa8e9314fa
recursive_modifier,6,0,0.050000,2,10,255,13,2,2,0.124826,0.107992,0.998567,1.000000,0,293a6b6f33a65420
recursive_modifier,6,1,0.050000,2,10,255,13,4,4,0.074545,0.065282,0.992440,1.000000,0,2b0e661fe62af027
recursive_modifier,6,2,0.050000,2,10,255,13,8,7,0.083215,0.073036,0.980145,0.999998,0,e22d3ec47e55f7a9
recursive_modifier,6,3,0.050000,2,10,255,13,19,8,0.202076,0.174003,0.970318,0.999988,0,2c896fef1ed0470e
recursive_modifier,6,4,0.050000,2,10,255,13,45,8,0.428989,0.348556,0.975698,0.999969,0,aa121e4b33a2e34c
recursive_modifier,6,0,0.050000,3,10,255,13,1,2,0.000000,0.000000,0.998465,1.000000,0,5156104c171dd5e2
recursive_modifier,6,1,0.050000,3,10,255,13,3,4,0.050305,0.042666,0.992338,1.000000,0,4e889289561d95c3
recursive_modifier,6,2,0.050000,3,10,255,13,7,7,0.126528,0.107878,0.980646,0.999997,0,5bdbb76a668f0d90
recursive_modifier,6,3,0.050000,3,10,255,13,17,8,0.230423,0.198860,0.970914,0.999986,0,05cd841bc505435b
recursive_modifier,6,4,0.050000,3,10,255,13,43,8,0.457965,0.371647,0.976499,0.999967,0,8b56f236a4633ae4
recursive_modifier,6,0,0.100000,1,10,255,26,2,2,0.124826,0.107992,0.998567,1.000000,0,930c5b393cc27f30
recursive_modifier,6,1,0.100000,1,10,255,26,4,4,0.165721,0.141302,0.992846,0.999999,0,d4b4ba5bcdb73547
recursive_modifier,6,2,0.100000,1,10,255,26,9,7,0.207692,0.177887,0.981649,0.999995,0,92fba957c70b5072
recursive_modifier,6,3,0.100000,1,10,255,26,24,8,0.351894,0.300198,0.973703,0.999979,0,ac4c5f4d735b2b64
recursive_modifier,6,4,0.100000,1,10,255,26,65,8,0.654426,0.522619,0.982846,0.999951,0,eda7403c3856f7e6
recursive_modifier,6,0,0.100000,2,10,255,26,2,2,0.124826,0.107992,0.998567,1.000000,0,293a6b6f33a65420
recursive_modifier,6,1,0.100000,2,10,255,26,4,4,0.121232,0.104203,0.992643,0.999999,0,3cd8426ddc264d34
recursive_modifier,6,2,0.100000,2,10,255,26,9,7,0.167996,0.143897,0.981147,0.999996,0,7139cc679ca18621
recursive_modifier,6,3,0.100000,2,10,255,26,23,8,0.323056,0.275368,0.973004,0.999980,0,5931f4373a3428aa
recursive_modifier,6,4,0.100000,2,10,255,26,67,8,0.623662,0.494415,0.981733,0.999952,0,0d7a6dc87f25c42a
recursive_modifier,6,0,0.100000,3,10,255,26,2,2,0.124826,0.107992,0.998567,1.000000,0,2b6d0b42d9945230
recursive_modifier,6,1,0.100000,3,10,255,26,4,4,0.165721,0.141302,0.992846,0.999999,0,2dfaf51b4a4558f7
recursive_modifier,6,2,0.100000,3,10,255,26,8,7,0.238249,0.204289,0.982051,0.999994,0,f131163952d46438
recursive_modifier,6,3,0.100000,3,10,255,26,26,8,0.402949,0.343150,0.975001,0.999976,0,1a064343cbd1ae55
recursive_modifier,6,4,0.100000,3,10,255,26,73,8,0.651742,0.520623,0.982746,0.999952,0,057ecf6fcaa185ed
recursive_modifier,6,0,0.200000,1,10,255,51,2,2,0.124826,0.107992,0.998567,1.000000,0,930c5b393cc27f30
recursive_modifier,6,1,0.200000,1,10,255,51,4,4,0.248701,0.210907,0.993253,0.999999,0,5760a16046f3a7c7
recursive_modifier,6,2,0.200000,1,10,255,51,10,7,0.310322,0.263877,0.983057,0.999992,0,25ccb6819cfadc73
recursive_modifier,6,3,0.200000,1,10,255,51,35,8,0.522988,0.439930,0.978410,0.999967,0,3656e02db0b82501
recursive_modifier,6,4,0.200000,1,10,255,51,107,8,0.814346,0.641080,0.989568,0.999940,0,582b7b5d039f72cd
recursive_modifier,6,0,0.200000,2,10,255,51,2,2,0.234999,0.202640,0.998669,1.000000,0,4eac0a7fc07c82a1
recursive_modifier,6,1,0.200000,2,10,255,51,4,4,0.187207,0.161226,0.992948,0.999999,0,84bceedb042a8f64
recursive_modifier,6,2,0.200000,2,10,255,51,10,7,0.296366,0.252027,0.982856,0.999992,0,6cf65232e39502d9
recursive_modifier,6,3,0.200000,2,10,255,51,33,8,0.496348,0.418568,0.977607,0.999969,0,76a49f771fce3bab
recursive_modifier,6,4,0.200000,2,10,255,51,106,8,0.796918,0.623309,0.988749,0.999940,0,27e373228f1bbdfe
recursive_modifier,6,0,0.200000,3,10,255,51,2,2,0.124826,0.107992,0.998567,1.000000,0,2b6d0b42d9945230
recursive_modifier,6,1,0.200000,3,10,255,51,4,4,0.248701,0.210907,0.993253,0.999999,0,230cd3bda3553d37
